WORNLW,41
IKRUTW,63
ADWGTC,43
CYBWTX,91
ZBOGZL,79
LVUYQE,0
AQBFSP,58
LTTVKS,72
QZENXS,5
LMHLCR,68
BTCPZK,5
HZICHM,38
JNLRLL,50
QRGLNP,59
TSSMMO,35
ECDLKA,91
NIMMRE,56
ASSZEM,18
YYOWDY,8
VJUMDY,20
FEAMIL,61
IDFPEQ,28
BQXZZR,24
JHRCTH,90
TMYDQF,59
DKWGDT,64
MKRYVJ,13
URPBJJ,45
NMNDYH,68
DZZWTA,50
MQPRYD,42
FMZHHD,100
JSEVUQ,66
PYFNVI,17
JMYLKU,36
MIQWXD,99
TCEHDW,45
HAKEBD,27
MGMHCU,67
MGHJMF,84
QRVMSF,60
TUQUKX,55
AJOZMF,61
BHRHWW,74
MDXMVX,70
NTMERK,61
ILCQGQ,71
ZFCUIN,69
DVZUCM,21
VRDIEZ,22
TRGTMI,57
XYEHZM,52
AEAFTF,5
DUZPMH,28
IBDGIO,51
ZSQTXF,90
NYLUDW,20
YGFGIH,96
ULKIRW,91
YQBSTA,30
VRCKKV,93
GZNZFR,40
BXEBRV,54
MOISEE,69
ZPMSHL,62
MUGYBH,75
LSHRGI,89
AZRUGG,16
QYSNQY,19
KQHDBD,66
ZQCBQY,39
UVQDJL,49
IIYPYY,13
JHTXOL,92
DSBLKP,21
SSYIRD,16
EXSZXO,63
OVENQB,4
TKDFUM,36
AIYEKX,67
LUUCDM,40
SHTNAD,91
KSRDJP,47
QPZGSO,11
NCBACL,24
TYUZNZ,55
XTOPAM,80
ISRURK,62
YYTOMF,80
FBXGWT,56
FBASSX,61
EAADYR,59
UAYVMF,17
WNUDAP,64
DLTHAD,64
JXJIBS,22
KEWZZI,23
ZEFTAF,6
LEHABW,39
FOEKCY,91
